statistic,factor,level,lwr,upr,est
s2,margin,beta,0.0437447788049466,0.0457655760069611,0.0447409106131095
s2,margin,bks,0.0468547363414747,0.0493132218803733,0.0480466708103043
s2,margin,nks,0.0456121265437063,0.0471070358195731,0.0463449834668185
s2,margin,norm,0.0447813126202571,0.0464495001510302,0.0456372556752419
s2,n,100,0.0589984399544028,0.060789035906803,0.0598365031120983
s2,n,25,0.0322581645773591,0.0337314138970335,0.0329286640905979
s2,n,50,0.0449387134913752,0.0466849059588772,0.0458121982214093
t2,cop,BB1,0.0467656006168465,0.0569567064313524,0.0520856494230735
t2,cop,BB7,0.0474595835301567,0.0495944285386638,0.0485210618430369
t2,cop,BB8,0.0466958986210811,0.0499260449187499,0.048334900627532
t2,cop,C,0.0479739181580545,0.0491230973266108,0.0485517281990544
t2,cop,F,0.0475950116390608,0.0490516791473255,0.0483187319091496
t2,cop,G,0.0482770578000816,0.049176740207686,0.0487648997277017
t2,cop,I,0.0483641329148213,0.0521988553089103,0.0502678248988747
t2,cop,J,0.0487073566335814,0.0495844982279656,0.0491266573103237
t2,cop,N,0.0478187755194976,0.0495543836487512,0.0486610357975929
t2,cop,t,0.0471718594648995,0.0486485357344231,0.0479132773037141
t2,cop,Tawn,0.0551795409778094,0.0560658566128378,0.0555709709759218
t2,margin,beta,0.0486086794544605,0.050990477040267,0.049691218951588
t2,margin,bks,0.0493842479423612,0.0517405839335382,0.0504533635802129
t2,margin,nks,0.0471669646580316,0.0490448706833912,0.0480888987816365
t2,margin,norm,0.0494575828268668,0.0513493007624709,0.0503544234196445
t2,n,100,0.0496381017600483,0.0516590469614791,0.0506037034813395
t2,n,25,0.04796612136112,0.0499441800714226,0.0488499793088344
t2,n,50,0.0486369494711104,0.0504330423539828,0.0494872457596375
w2,cop,BB1,0.047014348309603,0.0574104292435372,0.0517818157190153
w2,cop,BB7,0.046999169592615,0.0491197790252571,0.0481237469882369
w2,cop,BB8,0.0464594769875065,0.0498050950392566,0.0482305659521866
w2,cop,C,0.0473534129439501,0.048516849981071,0.0479549472650285
w2,cop,F,0.0478490528892156,0.0493473448801325,0.0485575948614251
w2,cop,G,0.0481848619434551,0.0490445604205927,0.0486279103154783
w2,cop,I,0.0472373108844639,0.050883340026579,0.0490939134990531
w2,cop,J,0.0483327097399073,0.0492493602167729,0.0487632656536027
w2,cop,N,0.0478521893329519,0.0495751012971513,0.0486733327696258
w2,cop,t,0.0478595813523251,0.0493987910887421,0.0485961177843632
w2,cop,Tawn,0.119031039563081,0.120297478931563,0.119620192310581
w2,margin,beta,0.0527395550353039,0.0550372821072877,0.0538698578270631
w2,margin,bks,0.0542757821654959,0.0568772461056548,0.055536425337769
w2,margin,nks,0.055212633841639,0.0570902506373515,0.0561605029480845
w2,margin,norm,0.0546027711886548,0.0564471644998393,0.0555326332029369
w2,n,100,0.0593245316587263,0.0612317071066789,0.0603127709604047
w2,n,25,0.0505170959542012,0.0524906721307031,0.0513571179760758
w2,n,50,0.0532458699167995,0.0552068506711177,0.0541546755504096
